date,company,sector,last_price,opening_price,high,low,volume,variation
2025-03-27,SOPAT,Food & Beverage,43.392,42.73,44.09,41.369,78452,-2.74
2025-03-27,STEQ,Industry,28.225,28.364,28.633,28.094,76889,-1.75
2025-03-27,STIP,Industry,39.761,40.184,41.54,38.829,85336,-0.5
2025-03-27,TUNISIE PROFILES ALUMINIUM,Industry,39.565,38.956,39.925,37.987,49105,1.93
2025-03-27,TUNINVEST-SICAR,Financial Services,38.631,39.273,40.521,38.024,4718,0.64
2025-03-27,TUNISAIR,Transport,21.225,20.811,21.388,20.234,19238,2.38
2025-03-27,TUNIS RE,Insurance,55.787,56.988,58.316,55.66,43457,0.44
2025-03-27,WIFACK INTERNATIONAL BANK,Banking,95.991,95.136,96.324,93.949,32501,-2.27
2025-03-28,SFBT,Food & Beverage,43.936,44.597,45.478,43.717,97668,-1.6
2025-03-28,BIAT,Banking,81.786,81.974,84.62,79.328,52648,0.17
2025-03-28,Attijari Bank,Banking,84.702,84.986,85.62,84.351,53482,1.74
2025-03-28,Tunisie Telecom,Telecom,38.296,38.316,38.694,37.937,89620,2.74
2025-03-28,BH Bank,Banking,68.562,68.743,69.458,68.028,6659,-1.95
2025-03-28,Délice Holding,Food & Beverage,41.24,41.695,43.009,40.382,80639,2.1
2025-03-28,SAH Lilas,Industry,7.277,7.396,7.58,7.213,22541,-0.82
2025-03-28,UIB,Banking,56.246,57.233,58.743,55.724,30468,1.12
2025-03-28,STAR,Insurance,17.685,17.724,18.507,16.942,70569,0.83
2025-03-28,Tunisair,Transport,8.269,8.262,8.469,8.056,48430,0.95
2025-03-28,ATB,Banking,27.743,27.252,27.889,26.616,78068,2.85
2025-03-28,BNA,Banking,22.061,22.12,23.048,21.192,19231,-1.19
2025-03-28,BT,Banking,67.301,67.925,70.027,65.823,62894,0.13
2025-03-28,STB,Banking,55.951,55.099,56.094,54.104,78500,-1.59
2025-03-28,Amen Bank,Banking,47.806,47.76,49.165,46.355,80845,1.74
2025-03-28,Attijari Leasing,Financial Services,34.099,33.611,34.516,32.706,12259,-0.33
2025-03-28,BH Leasing,Financial Services,25.773,26.013,26.535,25.491,66825,-1.15
2025-03-28,CIL,Financial Services,31.199,31.701,32.239,31.163,85968,-0.31
2025-03-28,Hannibal Lease,Financial Services,33.738,34.169,34.688,33.65,89953,-1.97
2025-03-28,Modern Leasing,Financial Services,12.976,13.142,13.333,12.951,74906,-1.89
2025-03-28,Tunisie Leasing,Financial Services,30.677,30.698,30.993,30.404,55639,-2.52
2025-03-28,PGH,Holding,102.051,102.998,105.599,100.396,57758,-1.14
2025-03-28,SIMPAR,Construction,14.729,14.654,14.967,14.34,76178,-1.36
2025-03-28,SOMOCER,Industry,39.025,39.107,39.556,38.658,64170,0.38
2025-03-28,SOTIPAPIER,Industry,25.468,25.942,26.652,25.231,10196,-2.52
2025-03-28,SOTUVER,Industry,33.578,33.721,34.247,33.194,28148,-0.14
2025-03-28,TELNET,Technology,26.074,25.701,26.131,25.272,23932,2.57
2025-03-28,TPR,Industry,12.242,12.053,12.288,11.818,39508,-1.3
2025-03-28,UNIMED,Healthcare,9.541,9.607,9.963,9.251,42922,-0.05
2025-03-28,ADWYA,Healthcare,9.917,9.871,10.293,9.449,35240,1.63
2025-03-28,ARTES,Automotive,9.108,8.962,9.197,8.726,12779,0.29
2025-03-28,CELLCOM,Technology,61.831,62.177,63.354,61.001,16310,1.24
2025-03-28,CITY CARS,Automotive,8.478,8.546,8.655,8.437,5172,0.77
2025-03-28,ENNAKL,Automotive,14.809,14.861,14.961,14.761,21817,-0.55
2025-03-28,EURO-CYCLES,Industry,28.742,28.617,29.813,27.421,46134,-2.59
2025-03-28,GIF,Industry,18.311,18.316,19.116,17.515,81046,1.55
2025-03-28,LAND'OR,Food & Beverage,42.485,42.489,42.732,42.245,55778,0.38
2025-03-28,MAGASIN GENERAL,Retail,19.308,19.367,19.847,18.888,31749,2.7
2025-03-28,MONOPRIX,Retail,12.207,12.27,12.715,11.824,91751,0.48
2025-03-28,NEW BODY LINE,Industry,33.961,34.292,35.268,33.316,22246,-1.67
2025-03-28,OFFICE PLAST,Industry,19.235,18.995,19.631,18.36,62706,-0.73
2025-03-28,ONE TECH HOLDING,Technology,50.989,50.3,51.197,49.403,77515,2.51
2025-03-28,SAM,Industry,33.02,32.592,33.554,31.629,83032,1.2
2025-03-28,SANIMED,Healthcare,13.792,13.912,14.055,13.77,73138,-2.4
2025-03-28,SERVICOM,Services,7.857,7.752,7.999,7.505,57916,2.38
2025-03-28,SOTEMAIL,Industry,38.331,38.489,38.972,38.006,86039,1.03
2025-03-28,SOTRAPIL,Energy,63.01,63.818,65.237,62.399,27175,2.3
2025-03-28,SOPAT,Food & Beverage,15.857,15.851,16.074,15.628,12786,-2.45
2025-03-28,STEQ,Industry,18.419,18.374,18.512,18.237,51446,-1.01
2025-03-28,STIP,Industry,5.953,6.073,6.244,5.902,13214,-2.43
2025-03-28,TUNISIE PROFILES ALUMINIUM,Industry,19.651,19.511,20.307,18.714,96345,-2.74
2025-03-28,TUNINVEST-SICAR,Financial Services,34.018,34.484,35.288,33.68,64751,1.42
2025-03-28,TUNISAIR,Transport,6.947,6.892,7.085,6.698,8786,-2.58
2025-03-28,TUNIS RE,Insurance,25.177,24.96,25.671,24.25,72909,-2.98
2025-03-28,WIFACK INTERNATIONAL BANK,Banking,97.477,97.989,101.978,94.001,67013,-2.87
2025-03-29,SFBT,Food & Beverage,40.724,41.166,42.033,40.299,7088,1.44
2025-03-29,BIAT,Banking,66.19,65.195,66.942,63.449,71169,-2.74
2025-03-29,Attijari Bank,Banking,65.951,65.681,67.981,63.381,12250,1.16
2025-03-29,Tunisie Telecom,Telecom,36.681,36.508,37.643,35.373,38094,0.62
2025-03-29,BH Bank,Banking,75.106,75.186,75.516,74.856,33129,2.99
2025-03-29,Délice Holding,Food & Beverage,28.31,28.426,29.467,27.386,48582,-2.86
2025-03-29,SAH Lilas,Industry,5.034,4.992,5.064,4.921,60320,1.44
2025-03-29,UIB,Banking,96.165,96.67,99.052,94.288,44109,-2.17
2025-03-29,STAR,Insurance,22.079,22.47,22.96,21.98,57432,0.96
2025-03-29,Tunisair,Transport,18.666,18.544,19.199,17.889,28239,-2.71
2025-03-29,ATB,Banking,81.81,83.032,84.516,81.549,90406,-1.07
2025-03-29,BNA,Banking,75.652,76.202,78.639,73.765,1560,-1.79
2025-03-29,BT,Banking,76.828,75.142,77.285,73.0,80565,-0.43
2025-03-29,STB,Banking,30.479,30.221,30.835,29.608,7961,-2.04
2025-03-29,Amen Bank,Banking,47.758,47.495,48.154,46.835,51680,-0.09
2025-03-29,Attijari Leasing,Financial Services,15.921,16.224,16.635,15.812,73427,0.62
2025-03-29,BH Leasing,Financial Services,33.683,33.019,33.926,32.111,77769,1.23
2025-03-29,CIL,Financial Services,13.51,13.654,13.972,13.335,73376,-2.12
2025-03-29,Hannibal Lease,Financial Services,16.963,16.836,17.527,16.145,48726,-1.05
2025-03-29,Modern Leasing,Financial Services,21.101,21.066,21.992,20.141,25952,1.61
2025-03-29,Tunisie Leasing,Financial Services,33.654,33.178,34.219,32.136,15689,-0.3
2025-03-29,PGH,Holding,51.842,52.391,54.225,50.557,59736,0.36
2025-03-29,SIMPAR,Construction,49.598,49.979,51.936,48.022,33090,0.36
2025-03-29,SOMOCER,Industry,16.066,16.211,16.376,16.046,30517,0.34
2025-03-29,SOTIPAPIER,Industry,19.327,19.34,19.603,19.076,89735,2.22
2025-03-29,SOTUVER,Industry,32.711,32.555,32.914,32.195,1663,0.42
2025-03-29,TELNET,Technology,16.567,16.546,17.329,15.763,45921,-1.79
2025-03-29,TPR,Industry,31.614,31.773,32.78,30.767,63901,1.72
2025-03-29,UNIMED,Healthcare,17.823,17.544,18.003,17.085,89244,-1.95
2025-03-29,ADWYA,Healthcare,20.123,20.112,20.867,19.357,85964,-2.96
2025-03-29,ARTES,Automotive,20.988,21.288,21.904,20.672,10886,-2.31
2025-03-29,CELLCOM,Technology,18.861,18.648,19.294,18.001,14746,-2.49
2025-03-29,CITY CARS,Automotive,7.719,7.643,7.801,7.484,52075,1.93
2025-03-29,ENNAKL,Automotive,21.101,21.37,21.643,21.097,37037,2.84
2025-03-29,EURO-CYCLES,Industry,24.796,24.748,25.727,23.769,3550,-2.63
2025-03-29,GIF,Industry,14.434,14.473,14.515,14.43,45739,1.04
2025-03-29,LAND'OR,Food & Beverage,21.797,21.612,21.835,21.389,60017,-0.62
2025-03-29,MAGASIN GENERAL,Retail,16.666,16.53,16.787,16.273,56230,0.79
2025-03-29,MONOPRIX,Retail,15.781,15.474,15.9,15.047,60430,-2.85
2025-03-29,NEW BODY LINE,Industry,35.228,35.826,36.828,34.823,72717,0.88
2025-03-29,OFFICE PLAST,Industry,30.564,30.756,31.627,29.885,45427,0.65
2025-03-29,ONE TECH HOLDING,Technology,28.145,28.029,28.86,27.199,49241,-0.25
2025-03-29,SAM,Industry,25.808,25.628,25.865,25.392,38611,0.94
2025-03-29,SANIMED,Healthcare,10.112,9.933,10.179,9.686,72560,1.0
2025-03-29,SERVICOM,Services,12.685,12.741,12.939,12.542,72501,-1.88
2025-03-29,SOTEMAIL,Industry,37.453,37.633,39.217,36.048,36785,-1.64
2025-03-29,SOTRAPIL,Energy,35.914,35.794,36.417,35.17,16203,-2.6
2025-03-29,SOPAT,Food & Beverage,47.934,47.715,49.881,45.548,37124,-2.78
2025-03-29,STEQ,Industry,14.292,14.277,14.572,13.983,35720,-2.01
2025-03-29,STIP,Industry,24.287,24.119,24.467,23.771,51973,0.0
2025-03-29,TUNISIE PROFILES ALUMINIUM,Industry,36.886,37.115,38.491,35.74,12969,0.24
2025-03-29,TUNINVEST-SICAR,Financial Services,20.304,20.453,20.907,20.0,58089,2.29
2025-03-29,TUNISAIR,Transport,15.074,15.098,15.519,14.676,41322,-2.54
2025-03-29,TUNIS RE,Insurance,35.739,35.663,36.171,35.156,68083,-0.1
2025-03-29,WIFACK INTERNATIONAL BANK,Banking,90.105,90.475,94.372,86.577,31863,0.07
2025-03-30,SFBT,Food & Beverage,16.825,17.121,17.505,16.738,62190,2.99
2025-03-30,BIAT,Banking,62.146,60.959,62.407,59.51,86159,-0.81
2025-03-30,Attijari Bank,Banking,79.06,79.21,82.106,76.314,96820,2.99
2025-03-30,Tunisie Telecom,Telecom,63.59,63.791,65.786,61.796,94923,-1.57
2025-03-30,BH Bank,Banking,61.291,60.335,61.95,58.719,20235,-1.19
2025-03-30,Délice Holding,Food & Beverage,21.692,21.841,22.218,21.464,64464,0.98
2025-03-30,SAH Lilas,Industry,21.819,21.644,22.257,21.03,45563,2.04
2025-03-30,UIB,Banking,30.395,30.537,31.369,29.705,56944,-2.81
2025-03-30,STAR,Insurance,35.687,35.731,35.829,35.634,55716,1.46
2025-03-30,Tunisair,Transport,28.997,28.647,29.569,27.725,76038,1.01
2025-03-30,ATB,Banking,99.755,101.434,103.167,99.7,88910,-0.76
2025-03-30,BNA,Banking,74.435,73.193,74.966,71.42,62917,1.13
2025-03-30,BT,Banking,80.622,80.266,80.722,79.81,76965,0.64
2025-03-30,STB,Banking,57.777,58.752,60.143,57.361,76146,2.69
2025-03-30,Amen Bank,Banking,29.976,29.304,30.034,28.575,33062,-0.72
2025-03-30,Attijari Leasing,Financial Services,33.889,33.899,34.429,33.369,51465,-0.96
2025-03-30,BH Leasing,Financial Services,39.566,39.108,40.545,37.671,9365,0.65
2025-03-30,CIL,Financial Services,28.444,28.233,28.782,27.684,86018,0.96
2025-03-30,Hannibal Lease,Financial Services,33.204,33.048,34.332,31.764,36321,-1.78
2025-03-30,Modern Leasing,Financial Services,36.796,37.048,37.565,36.531,19443,2.7
2025-03-30,Tunisie Leasing,Financial Services,39.994,39.216,40.316,38.117,73171,2.83
2025-03-30,PGH,Holding,89.347,90.316,93.32,87.312,76285,1.47
2025-03-30,SIMPAR,Construction,11.304,11.276,11.81,10.742,71663,1.48
2025-03-30,SOMOCER,Industry,35.705,35.521,36.328,34.714,10820,-0.05
2025-03-30,SOTIPAPIER,Industry,27.977,27.386,28.084,26.687,2459,-0.81
2025-03-30,SOTUVER,Industry,12.573,12.501,12.746,12.255,66199,2.21
2025-03-30,TELNET,Technology,51.302,51.927,53.473,50.38,94441,-1.52
2025-03-30,TPR,Industry,38.539,38.594,40.134,37.054,40798,1.1
2025-03-30,UNIMED,Healthcare,12.305,12.276,12.661,11.89,15553,-0.77
2025-03-30,ADWYA,Healthcare,9.702,9.752,9.887,9.617,68571,-0.29
2025-03-30,ARTES,Automotive,22.421,22.598,23.477,21.718,11184,-1.17
2025-03-30,CELLCOM,Technology,51.914,52.777,54.191,51.363,36913,2.87
2025-03-30,CITY CARS,Automotive,17.239,17.174,17.451,16.896,7578,2.9
2025-03-30,ENNAKL,Automotive,12.045,12.101,12.187,12.014,55814,0.16
2025-03-30,EURO-CYCLES,Industry,8.471,8.526,8.736,8.316,38991,-2.7
2025-03-30,GIF,Industry,31.242,30.479,31.26,29.697,12315,-2.43
2025-03-30,LAND'OR,Food & Beverage,21.699,21.729,21.794,21.664,51488,-2.72
2025-03-30,MAGASIN GENERAL,Retail,8.805,8.784,8.985,8.583,35646,1.48
2025-03-30,MONOPRIX,Retail,12.697,12.634,12.834,12.434,24734,-1.43
2025-03-30,NEW BODY LINE,Industry,30.166,29.79,30.389,29.19,87449,-1.31
2025-03-30,OFFICE PLAST,Industry,28.91,29.034,29.963,28.104,62784,-2.89
2025-03-30,ONE TECH HOLDING,Technology,17.547,17.779,18.173,17.386,91677,0.88
2025-03-30,SAM,Industry,29.428,30.064,30.8,29.328,31319,2.3
2025-03-30,SANIMED,Healthcare,17.781,17.929,18.543,17.315,37121,-1.73
2025-03-30,SERVICOM,Services,12.396,12.483,12.572,12.394,14294,2.13
2025-03-30,SOTEMAIL,Industry,7.306,7.285,7.582,6.988,98709,2.05
2025-03-30,SOTRAPIL,Energy,34.805,34.617,36.138,33.097,57196,0.25
2025-03-30,SOPAT,Food & Beverage,31.808,31.426,31.985,30.868,63666,2.9
2025-03-30,STEQ,Industry,33.09,33.422,34.679,32.165,68086,-2.12
2025-03-30,STIP,Industry,33.637,32.996,34.02,31.972,30211,-2.22
2025-03-30,TUNISIE PROFILES ALUMINIUM,Industry,13.322,13.146,13.328,12.964,22881,2.38
2025-03-30,TUNINVEST-SICAR,Financial Services,10.17,10.21,10.448,9.973,82143,1.02
2025-03-30,TUNISAIR,Transport,18.515,18.619,18.873,18.365,3443,1.6
2025-03-30,TUNIS RE,Insurance,16.15,16.263,16.908,15.617,39764,1.75
2025-03-30,WIFACK INTERNATIONAL BANK,Banking,76.216,77.153,79.103,75.204,68139,-0.31
2025-03-31,SFBT,Food & Beverage,26.009,26.365,27.115,25.616,51309,1.24
2025-03-31,BIAT,Banking,83.21,81.631,83.32,79.942,21712,0.23
2025-03-31,Attijari Bank,Banking,29.559,29.675,30.572,28.779,66326,2.84
2025-03-31,Tunisie Telecom,Telecom,49.737,50.648,51.752,49.543,20235,1.56
2025-03-31,BH Bank,Banking,63.73,64.249,66.778,61.72,55315,-2.35
2025-03-31,Délice Holding,Food & Beverage,29.444,29.283,29.863,28.703,27237,-0.42
2025-03-31,SAH Lilas,Industry,36.686,36.796,37.758,35.833,53309,-1.55
2025-03-31,UIB,Banking,51.912,52.114,52.787,51.441,5330,-0.05
2025-03-31,STAR,Insurance,48.513,47.675,49.127,46.223,61344,1.3
2025-03-31,Tunisair,Transport,22.97,23.116,23.724,22.508,77724,0.35
2025-03-31,ATB,Banking,94.382,95.579,97.168,93.99,40980,-1.5
2025-03-31,BNA,Banking,94.557,93.596,97.265,89.927,23465,1.58
2025-03-31,BT,Banking,46.973,47.132,47.733,46.532,30263,1.34
2025-03-31,STB,Banking,99.018,98.302,99.793,96.811,84071,1.27
2025-03-31,Amen Bank,Banking,57.471,56.877,59.119,54.635,75589,-0.82
2025-03-31,Attijari Leasing,Financial Services,19.583,19.429,19.813,19.045,23876,0.06
2025-03-31,BH Leasing,Financial Services,36.446,36.565,38.139,34.99,75143,-2.79
2025-03-31,CIL,Financial Services,17.09,17.203,17.315,17.09,38115,-0.61
2025-03-31,Hannibal Lease,Financial Services,40.654,40.984,41.543,40.425,80243,0.76
2025-03-31,Modern Leasing,Financial Services,26.962,27.182,28.027,26.337,73702,-1.05
2025-03-31,Tunisie Leasing,Financial Services,27.94,27.947,28.216,27.678,10626,0.37
2025-03-31,PGH,Holding,77.166,77.564,80.14,74.988,25324,-0.22
2025-03-31,SIMPAR,Construction,38.78,38.376,39.126,37.626,93816,2.37
2025-03-31,SOMOCER,Industry,10.473,10.411,10.663,10.159,36941,-1.8
2025-03-31,SOTIPAPIER,Industry,23.437,23.523,24.604,22.441,34968,-3.0
2025-03-31,SOTUVER,Industry,17.825,17.745,17.885,17.606,51281,-0.09
2025-03-31,TELNET,Technology,65.665,66.918,68.622,65.215,52078,2.76
2025-03-31,TPR,Industry,9.612,9.668,9.979,9.358,53405,-1.93
2025-03-31,UNIMED,Healthcare,21.467,21.697,22.29,21.103,96113,-2.87
2025-03-31,ADWYA,Healthcare,34.567,33.834,34.655,33.013,91259,-0.93
2025-03-31,ARTES,Automotive,20.169,19.885,20.476,19.294,9135,-1.59
2025-03-31,CELLCOM,Technology,24.273,24.188,25.202,23.174,11702,2.47
2025-03-31,CITY CARS,Automotive,22.998,22.812,23.57,22.053,53868,-0.78
2025-03-31,ENNAKL,Automotive,9.307,9.242,9.543,8.942,94080,-1.11
2025-03-31,EURO-CYCLES,Industry,37.01,36.922,38.05,35.794,9232,2.94
2025-03-31,GIF,Industry,34.855,35.09,36.101,34.078,78124,2.33
2025-03-31,LAND'OR,Food & Beverage,47.106,47.049,47.744,46.355,1796,0.63
2025-03-31,MAGASIN GENERAL,Retail,11.215,11.139,11.312,10.966,25033,-0.59
2025-03-31,MONOPRIX,Retail,9.862,9.79,9.896,9.684,10568,0.64
2025-03-31,NEW BODY LINE,Industry,16.311,16.02,16.331,15.71,74150,-2.1
2025-03-31,OFFICE PLAST,Industry,24.861,24.885,25.762,24.008,14220,-0.47
2025-03-31,ONE TECH HOLDING,Technology,61.203,61.636,63.815,59.458,31141,-2.58
2025-03-31,SAM,Industry,15.189,15.478,15.863,15.093,97446,-1.57
2025-03-31,SANIMED,Healthcare,31.48,31.868,32.448,31.288,75852,-0.76
2025-03-31,SERVICOM,Services,13.742,13.592,13.885,13.299,40745,-0.38
2025-03-31,SOTEMAIL,Industry,36.039,36.466,37.835,35.097,46185,-1.92
2025-03-31,SOTRAPIL,Energy,30.881,31.113,31.913,30.312,7349,-2.01
2025-03-31,SOPAT,Food & Beverage,44.858,44.992,46.357,43.628,2994,-1.54
2025-03-31,STEQ,Industry,34.894,34.423,34.922,33.925,11655,-0.81
2025-03-31,STIP,Industry,24.857,25.124,25.436,24.812,96214,-1.61
2025-03-31,TUNISIE PROFILES ALUMINIUM,Industry,34.591,33.931,34.835,33.027,60932,2.49
2025-03-31,TUNINVEST-SICAR,Financial Services,42.884,43.575,44.544,42.606,57131,-2.24
2025-03-31,TUNISAIR,Transport,9.505,9.406,9.647,9.165,88415,-0.53
2025-03-31,TUNIS RE,Insurance,27.762,28.037,28.671,27.402,9286,1.56
2025-03-31,WIFACK INTERNATIONAL BANK,Banking,51.734,51.305,52.279,50.331,64141,0.4
2025-04-01,SFBT,Food & Beverage,25.998,26.4,27.24,25.56,15699,-1.21
2025-04-01,BIAT,Banking,87.512,86.917,89.751,84.083,58560,0.89
2025-04-01,Attijari Bank,Banking,29.551,29.724,30.182,29.265,77225,0.73
2025-04-01,Tunisie Telecom,Telecom,80.857,81.081,83.418,78.743,47485,-1.11
2025-04-01,BH Bank,Banking,46.444,46.768,48.688,44.848,14326,1.0
2025-04-01,Délice Holding,Food & Beverage,11.248,11.187,11.564,10.81,6137,-1.52
2025-04-01,SAH Lilas,Industry,9.238,9.256,9.397,9.116,33814,-2.41
2025-04-01,UIB,Banking,39.93,39.266,40.261,38.27,60012,-1.28
2025-04-01,STAR,Insurance,51.205,50.753,51.735,49.771,1680,1.78
2025-04-01,Tunisair,Transport,7.359,7.239,7.422,7.056,89362,-1.99
2025-04-01,ATB,Banking,48.26,49.093,50.253,47.932,88587,-2.62
2025-04-01,BNA,Banking,24.233,24.359,25.39,23.328,99976,-0.89
2025-04-01,BT,Banking,57.204,56.788,57.442,56.134,77735,0.63
2025-04-01,STB,Banking,53.797,53.558,55.223,51.894,68989,-1.3
2025-04-01,Amen Bank,Banking,69.385,68.119,70.183,66.054,99577,-1.27
2025-04-01,Attijari Leasing,Financial Services,38.988,39.303,40.703,37.902,24452,-2.83
2025-04-01,BH Leasing,Financial Services,38.001,37.314,38.385,36.243,72489,2.39
2025-04-01,CIL,Financial Services,25.395,25.321,25.398,25.244,8948,-1.25
2025-04-01,Hannibal Lease,Financial Services,23.966,23.971,24.89,23.051,79896,-0.76
2025-04-01,Modern Leasing,Financial Services,14.937,14.933,15.234,14.633,28000,-1.15
2025-04-01,Tunisie Leasing,Financial Services,14.702,14.396,14.739,14.053,51721,-2.82
2025-04-01,PGH,Holding,100.32,102.482,105.183,99.78,10141,-2.45
2025-04-01,SIMPAR,Construction,37.607,38.096,39.223,36.97,24418,1.41
2025-04-01,SOMOCER,Industry,9.708,9.674,9.886,9.462,54832,2.58
2025-04-01,SOTIPAPIER,Industry,14.315,14.27,14.57,13.97,58153,0.48
2025-04-01,SOTUVER,Industry,27.718,27.918,28.617,27.218,45680,1.96
2025-04-01,TELNET,Technology,41.453,40.79,41.501,40.079,10809,0.29
2025-04-01,TPR,Industry,30.087,29.956,30.74,29.173,61268,-2.44
2025-04-01,UNIMED,Healthcare,29.739,29.715,30.909,28.522,95673,2.27
2025-04-01,ADWYA,Healthcare,33.01,33.032,33.418,32.645,7135,-1.76
2025-04-01,ARTES,Automotive,11.119,11.105,11.229,10.981,23856,0.38
2025-04-01,CELLCOM,Technology,50.028,51.003,52.321,49.685,95009,2.5
2025-04-01,CITY CARS,Automotive,7.932,7.941,8.26,7.621,95057,2.23
2025-04-01,ENNAKL,Automotive,22.004,21.999,22.718,21.281,58480,-1.1
2025-04-01,EURO-CYCLES,Industry,24.172,24.077,24.96,23.194,71782,-1.42
2025-04-01,GIF,Industry,9.12,9.207,9.427,8.986,89292,1.5
2025-04-01,LAND'OR,Food & Beverage,40.695,41.29,42.677,39.903,16738,-2.28
2025-04-01,MAGASIN GENERAL,Retail,5.642,5.679,5.874,5.485,28388,-1.06
2025-04-01,MONOPRIX,Retail,15.427,15.447,15.952,14.943,31794,-2.69
2025-04-01,NEW BODY LINE,Industry,13.455,13.678,14.078,13.278,13363,-1.41
2025-04-01,OFFICE PLAST,Industry,8.574,8.515,8.709,8.321,71313,1.23
2025-04-01,ONE TECH HOLDING,Technology,53.261,53.233,53.615,52.851,41173,1.95
2025-04-01,SAM,Industry,30.57,30.984,31.549,30.419,23578,2.11
2025-04-01,SANIMED,Healthcare,26.841,26.572,27.443,25.7,5306,-2.82
2025-04-01,SERVICOM,Services,16.941,17.138,17.675,16.6,74973,1.63
2025-04-01,SOTEMAIL,Industry,10.99,11.193,11.429,10.957,81560,-2.35
2025-04-01,SOTRAPIL,Energy,50.004,49.37,50.426,48.313,49286,2.08
2025-04-01,SOPAT,Food & Beverage,41.742,42.247,43.512,40.982,73869,0.99
2025-04-01,STEQ,Industry,33.112,33.322,34.595,32.049,80932,0.94
2025-04-01,STIP,Industry,16.619,16.576,16.792,16.359,14917,1.32
2025-04-01,TUNISIE PROFILES ALUMINIUM,Industry,39.714,39.63,40.725,38.536,61852,-2.74
2025-04-01,TUNINVEST-SICAR,Financial Services,31.166,30.676,31.317,30.035,50493,-1.1
